x,y
3273.414147908583,2415.382091520377
3285.244621197025,2415.395846324864
3297.075094485468,2415.409601129351
3308.90556777391,2415.423355933838
3320.736041062352,2415.437110738324
3332.566514350792,2415.450865542811
3343.999974730183,2413.023060103692
3354.449491021805,2407.518413199214
3363.595749525475,2400.045831071468
3371.07345665052,2390.903762135832
3376.583959293637,2380.457332655284
3379.907172783473,2369.12376391579
3380.910370870513,2357.355708771885
3380.452852826691,2345.544611228381
3380.452852826691,2333.714129943868
3380.452852826691,2321.88364865936
3380.452852826691,2310.053167374847
3380.452852826691,2298.222686090334
3380.452852826691,2286.392204805821
3380.452852826691,2274.561723521313
3380.452852826691,2262.7312422368
3380.452852826691,2250.900760952287
3380.452852826691,2239.070279667775
3380.452852826691,2227.239798383266
3380.452852826691,2215.409317098753
3380.452852826691,2203.57883581424
3380.452852826691,2191.748354529727
3380.452852826691,2179.917873245219
